Category,Subcategory,Specification
Motor,Tipo,"SOHC, 2 válvulas, Refrigeração a ar"
Motor,Quantidade de cilindros,1
Motor,Cilindrada,"124,9 cm³"
Motor,Diâmetro x curso,"52,4 x 57,9 mm"
Motor,Taxa de compressão,"10,0:1"
Motor,Potência máxima,"11,0 cv (Gasolina) / 11,1 cv (Etanol) a 7.500 rpm"
Motor,Torque máximo,"1,14 kgf.m (Gasolina) / 1,16 kgf.m (Etanol) a 5.500 rpm"
Motor,Embreagem,"Multi-disco, úmida"
Pneu,Dimensões do Pneu Dianteiro,"2,75-18"
Pneu,Dimensões do Pneu Traseiro,"90/90-18"
Pneu,Fabricante do Pneu,"Michelin / Pirelli"
Freios,Tipo de freio dianteiro,"Disco hidráulico com sistema UBS"
Freios,Tipo de freio traseiro,"Tambor com sistema UBS"
Suspensão,Tipo de suspensão dianteira,"Garfo telescópico"
Suspensão,Tipo de suspensão traseira,"Balança tipo Monocross"
Combustível,Alimentação,"Injeção eletrônica"
Combustível,Combustível recomendado,"Gasolina e Etanol"
Combustível,Capacidade do tanque de combustível,"15,7 L"
Transmissão,Sistema de transmissão,"5 velocidades"
Transmissão,Relação de marchas - 1ª,"2,714 (38/14)"
Transmissão,Relação de marchas - 2ª,"1,789 (34/19)"
Transmissão,Relação de marchas - 3ª,"1,318 (29/22)"
Transmissão,Relação de marchas - 4ª,"1,045 (23/22)"
Transmissão,Relação de marchas - 5ª,"0,875 (21/24)"
Transmissão,Sistema de partida,"Elétrica e pedal"
Transmissão,Transmissão final,"Corrente"
Óleo do motor,Quantidade de óleo do motor - sem troca do filtro,"1,20 L"
Óleo do motor,Quantidade de óleo do motor - com troca do filtro,"1,30 L"
Dimensões,Comprimento total,"2.015 mm"
Dimensões,Largura total,"735 mm"
Dimensões,Altura total,"1.090 mm"
Dimensões,Altura do assento,"785 mm"
Dimensões,Distância entre eixos,"1.325 mm"
Peso,Peso em ordem de marcha,"126 kg"
Capacidade,Carga máxima,"185 kg"
Sistema Elétrico,Bateria - Tipo,"YTZ6V"
Sistema Elétrico,Bateria - Tensão,"12 V"
Sistema Elétrico,Bateria - Capacidade,"5,0 Ah (10 HR)"
Sistema Elétrico,Fusível Principal,"25 A"
Sistema Elétrico,Fusível do Circuito de Sinalização,"15 A"
Sistema Elétrico,Fusível do Circuito do Farol,"10 A"
Iluminação,Lâmpada do Farol,"12 V, 35/35 W"
Iluminação,Lâmpada da Lanterna e Freio,"12 V, 5/21 W"
Iluminação,Lâmpada do Pisca,"12 V, 10 W"
Iluminação,Lâmpada da Luz de Placa,"12 V, 5 W"
