Category,Subcategory,Specification
Motor,Sistema de arrefecimento,Refrigeração a ar
Motor,Tipo de acionamento do comando de válvulas,SOHC
Motor,Ciclo de Combustão, 4 Tempos
Motor,Quantidade de cilindros,1
Motor,Cilindrada,"124,9 cm³"
Motor,Diâmetro x curso,"52,4 x 57,9 mm"
Motor,Taxa de compressão,"10,0:1"
Motor,Potência máxima,"11,0 cv (Gasolina) / 11,1 cv (Etanol) a 7.500 rpm"
Motor,Torque máximo,"1,14 kgf.m (Gasolina) / 1,16 kgf.m (Etanol) a 5.500 rpm"
Combustível,Alimentação,Injeção eletrônica
Combustível,Combustível recomendado,Gasolina e Etanol
Combustível,Capacidade do tanque de combustível,"15,7 L"
Transmissão,Sistema de transmissão,5 velocidades
Transmissão,Sistema de partida,Elétrica e pedal
Pneu dianteiro,Dimensões,"2,75-18"
Pneu traseiro,Dimensões,90/90-18
Freios,Tipo de freio dianteiro,Disco hidráulico com sistema UBS
Freios,Tipo de freio traseiro,Tambor com sistema UBS
Suspensão,Tipo de suspensão dianteira,Garfo telescópico
Suspensão,Tipo de suspensão traseira,Balança tipo Monocross
Dimensões,Comprimento total,2.015 mm
Dimensões,Largura total,735 mm
Dimensões,Altura total,1.090 mm
Dimensões,Altura do assento,785 mm
Dimensões,Distância entre eixos,1.325 mm
Peso,Peso em ordem de marcha,126 kg
